sample_id	in_paper_or_only_decontamination	ntc_check	decontamination_batch	dataset	dilution_series	dilution_detail
sample164	only_decontam	-	batch_6	-	-	-
sample165	only_decontam	-	batch_6	-	-	-
sample166	only_decontam	-	batch_6	-	-	-
sample167	paper	-	batch_6	dataset_10	d0	dataset_10-raw
sample168	paper	-	batch_6	dataset_10	d1	dataset_10-1/1000
sample169	paper	-	batch_6	dataset_10	d2	dataset_10-1/2000
sample170	paper	-	batch_6	dataset_10	d3	dataset_10-1/4000
sample171	paper	-	batch_6	dataset_10	d4	dataset_10-1/8000
sample172	paper	-	batch_6	dataset_10	d5	dataset_10-1/16000
sample173	paper	-	batch_6	dataset_10	d6	dataset_10-1/32000
sample174	paper	-	batch_6	dataset_10	d7	dataset_10-1/64000
sample175	paper	ntc	batch_6	dataset_10	-	-
