taxa	d0_in	d0_5_up
P_Proteobacteria	FALSE	FALSE
G_Blautia	FALSE	FALSE
S_Prevotella_copri	FALSE	FALSE
G_Escherichia	FALSE	FALSE
S_Fusobacterium_nucleatum	FALSE	FALSE
S_Prevotella_bivia	FALSE	FALSE
S_Lactobacillus_iners	FALSE	FALSE
G_Comamonas	FALSE	FALSE
S_Corynebacterium_kroppenstedtii	FALSE	FALSE
S_Parapedobacter_lycopersici	FALSE	FALSE
S_Acinetobacter_johnsonii	FALSE	FALSE
O_Hyphomicrobiales	FALSE	FALSE
S_Phytoactinopolyspora_alkaliphila	FALSE	FALSE
S_Sulfurifustis_variabilis	FALSE	FALSE
S_Sphingobacterium_faecium	FALSE	FALSE
G_Corynebacterium	FALSE	FALSE
F_Micropepsaceae	FALSE	FALSE
F_Enterobacteriaceae	FALSE	FALSE
S_Comamonas_testosteroni	FALSE	FALSE
F_Phyllobacteriaceae	FALSE	FALSE
G_Bosea	FALSE	FALSE
S_Raoultella_planticola	FALSE	FALSE
S_Bacteroides_caccae	FALSE	FALSE
G_Ketogulonicigenium	FALSE	FALSE
S_Denitrificimonas_caeni	FALSE	FALSE
G_Prevotella	FALSE	FALSE
G_Pedobacter	FALSE	FALSE
S_Frederiksenia_canicola	FALSE	FALSE
G_Mycetocola	FALSE	FALSE
F_Acetobacteraceae	FALSE	FALSE
G_Kaistella	FALSE	FALSE
G_Duganella	FALSE	FALSE
F_Rhizobiaceae	FALSE	FALSE
S_Aliihoeflea_aestuarii	FALSE	FALSE
S_Caldibacillus_thermoamylovorans	FALSE	FALSE
F_Weeksellaceae	FALSE	FALSE
G_Streptococcus	FALSE	FALSE
G_Myroides	FALSE	FALSE
S_Brevundimonas_diminuta	FALSE	FALSE
S_Curvibacter_lanceolatus	FALSE	FALSE
G_Pseudochrobactrum	FALSE	FALSE
S_Pedobacter_africanus	FALSE	FALSE
S_Myroides_injenensis	FALSE	FALSE
S_Pelagibacterium_halotolerans	FALSE	FALSE
G_Paraburkholderia	FALSE	FALSE
G_Luteococcus	FALSE	FALSE
G_Hyphomicrobium	FALSE	FALSE
S_Sphingomonas_roseiflava	FALSE	FALSE
G_Amycolatopsis	FALSE	FALSE
G_Actinomyces	FALSE	FALSE
S_Lancefieldella_rimae	FALSE	FALSE
S_Paracoccus_sphaerophysae	FALSE	FALSE
C_Clostridia	FALSE	FALSE
O_Chromatiales	FALSE	FALSE
S_Pelagibacterium_lixinzhangensis	FALSE	FALSE
S_Brevundimonas_intermedia	FALSE	FALSE
G_Saccharopolyspora	FALSE	FALSE
F_Burkholderiaceae	FALSE	FALSE
S_Kaistella_palustris	FALSE	FALSE
S_Peredibacter_starrii	FALSE	FALSE
S_Hyphomicrobium_hollandicum	FALSE	FALSE
S_Egicoccus_halophilus	FALSE	FALSE
C_Betaproteobacteria	FALSE	FALSE
S_Delftia_acidovorans	FALSE	FALSE
G_Aeromonas	FALSE	FALSE
G_Bradyrhizobium	FALSE	FALSE
S_Acinetobacter_radioresistens	FALSE	FALSE
F_Neisseriaceae	FALSE	FALSE
G_Mesorhizobium	FALSE	FALSE
C_Alphaproteobacteria	FALSE	FALSE
F_Microbacteriaceae	FALSE	FALSE
G_Kocuria	FALSE	FALSE
S_Evansella_cellulosilytica	FALSE	FALSE
S_Fonticella_tunisiensis	FALSE	FALSE
G_Nesterenkonia	FALSE	FALSE
G_Planococcus	FALSE	FALSE
S_Cutibacterium_granulosum	FALSE	FALSE
G_Nocardiopsis	FALSE	FALSE
G_Brucella	FALSE	FALSE
C_Cyanobacteria	FALSE	FALSE
S_Nitriliruptor_alkaliphilus	FALSE	FALSE
S_Ralstonia_syzygii	FALSE	FALSE
S_Peptoniphilus_koenoeneniae	FALSE	FALSE
G_Leucobacter	FALSE	FALSE
G_Sphingobacterium	FALSE	FALSE
F_Intrasporangiaceae	FALSE	FALSE
S_Pseudolabrys_taiwanensis	FALSE	FALSE
S_Nocardiopsis_exhalans	FALSE	FALSE
G_Streptomonospora	FALSE	FALSE
G_Microbacterium	FALSE	FALSE
S_Pseudomonas_batumici	FALSE	FALSE
S_Corynebacterium_amycolatum	FALSE	FALSE
S_[Eubacterium]_rectale	FALSE	FALSE
F_Chromatiaceae	FALSE	FALSE
S_Chryseobacterium_taklimakanense	FALSE	FALSE
S_Atopostipes_suicloacalis	FALSE	FALSE
F_Planococcaceae	FALSE	FALSE
S_Skermanella_aerolata	FALSE	FALSE
S_Stenotrophomonas_maltophilia	FALSE	FALSE
S_Parabacteroides_merdae	FALSE	FALSE
G_Acidovorax	FALSE	FALSE
S_Geomicrobium_sediminis	FALSE	FALSE
O_Burkholderiales	FALSE	FALSE
S_Enterococcus_cecorum	FALSE	FALSE
S_Phyllobacterium_myrsinacearum	FALSE	FALSE
S_Exiguobacterium_aurantiacum	FALSE	FALSE
F_Nitrobacteraceae	FALSE	FALSE
S_Acidovorax_facilis	FALSE	FALSE
S_Rubellimicrobium_roseum	FALSE	FALSE
S_Lacticaseibacillus_paracasei	FALSE	FALSE
G_Pseudonocardia	FALSE	FALSE
S_Flavobacterium_cerinum	FALSE	FALSE
G_Methylobacterium	FALSE	FALSE
S_Phascolarctobacterium_faecium	FALSE	FALSE
F_Pseudonocardiaceae	FALSE	FALSE
F_Flavobacteriaceae	FALSE	FALSE
G_Providencia	FALSE	FALSE
G_Gemella	FALSE	FALSE
G_Aeromicrobium	FALSE	FALSE
G_Streptomyces	FALSE	FALSE
S_Stenotrophomonas_tumulicola	FALSE	FALSE
S_Thermus_thermophilus	FALSE	FALSE
S_Pedobacter_jejuensis	FALSE	FALSE
S_Brevundimonas_terrae	FALSE	FALSE
S_Gaiella_occulta	FALSE	FALSE
S_Pseudomonas_cichorii	FALSE	FALSE
S_Pseudomonas_viridiflava	FALSE	FALSE
G_Achromobacter	FALSE	FALSE
G_Luteimonas	FALSE	FALSE
S_Parvimonas_micra	FALSE	FALSE
S_Beijerinckia_mobilis	FALSE	FALSE
S_Anaerobutyricum_hallii	FALSE	FALSE
S_Acinetobacter_septicus	FALSE	FALSE
F_Chitinophagaceae	FALSE	FALSE
G_Brevundimonas	FALSE	FALSE
S_Oligoflexus_tunisiensis	FALSE	FALSE
S_Corynebacterium_jeikeium	FALSE	FALSE
S_Pseudochrobactrum_kiredjianiae	FALSE	FALSE
C_Actinomycetia	FALSE	FALSE
G_Paracoccus	FALSE	FALSE
G_Sphingomonas	FALSE	FALSE
S_Halalkalibacterium (ex Joshi et al. 2022)_halodurans	FALSE	FALSE
S_Bacteroides_stercoris	FALSE	FALSE
G_Enterococcus	FALSE	FALSE
S_Micrococcus_luteus	FALSE	FALSE
S_Corynebacterium_otitidis	FALSE	FALSE
S_Corynebacterium_aquatimens	FALSE	FALSE
S_Sphingobium_xenophagum	FALSE	FALSE
S_Brucella_intermedia	FALSE	FALSE
G_Chryseobacterium	FALSE	FALSE
G_Phenylobacterium	FALSE	FALSE
G_Dietzia	FALSE	FALSE
S_Pseudomonas_syringae	FALSE	FALSE
S_Sphingobacterium_alimentarium	FALSE	FALSE
S_Pseudonocardia_alni	FALSE	FALSE
S_Pseudomonas_fragi	FALSE	FALSE
S_Streptococcus_thermophilus	FALSE	FALSE
S_Cellvibrio_fulvus	FALSE	FALSE
S_Devosia_riboflavina	FALSE	FALSE
S_Pseudoprevotella_muciniphila	FALSE	FALSE
S_Prevotellamassilia_timonensis	FALSE	FALSE
G_Yersinia	FALSE	FALSE
P_Firmicutes	FALSE	FALSE
S_Prevotella_paludivivens	FALSE	FALSE
S_Granulicatella_elegans	FALSE	FALSE
S_Devosia_yakushimensis	FALSE	FALSE
G_Mycolicibacterium	FALSE	FALSE
S_Nitrolancea_hollandica	FALSE	FALSE
F_Vicinamibacteraceae	FALSE	FALSE
S_Longimicrobium_terrae	FALSE	FALSE
G_Haemophilus	FALSE	FALSE
S_Methylobacterium_bullatum	FALSE	FALSE
S_Dysgonomonas_mossii	FALSE	FALSE
S_Butyratibacter_algicola	FALSE	FALSE
S_Hyphomonas_neptunium	FALSE	FALSE
G_Mucilaginibacter	FALSE	FALSE
G_Sphingobium	FALSE	FALSE
S_Pseudomonas_populi	FALSE	FALSE
S_Tepidisphaera_mucosa	FALSE	FALSE
S_Pseudonocardia_halophobica	FALSE	FALSE
S_Caulobacter_segnis	FALSE	FALSE
O_Lactobacillales	FALSE	FALSE
G_Pararheinheimera	FALSE	FALSE
G_Shewanella	FALSE	FALSE
S_Nubsella_zeaxanthinifaciens	FALSE	FALSE
G_Lactococcus	FALSE	FALSE
S_Moraxella_osloensis	FALSE	FALSE
S_Hyphomicrobium_nitrativorans	FALSE	FALSE
G_Isoptericola	FALSE	FALSE
O_Rhodospirillales	FALSE	FALSE
G_Rheinheimera	FALSE	FALSE
S_Actinomarinicola_tropica	FALSE	FALSE
F_Methylophilaceae	FALSE	FALSE
S_Thermicanus_aegyptius	FALSE	FALSE
S_Fusicatenibacter_saccharivorans	FALSE	FALSE
S_Dermacoccus_nishinomiyaensis	FALSE	FALSE
S_Sphingomonas_echinoides	FALSE	FALSE
S_Veillonella_parvula	FALSE	FALSE
G_Suttonella	FALSE	FALSE
G_Cutibacterium	FALSE	FALSE
G_Devosia	FALSE	FALSE
S_Corynebacterium_matruchotii	FALSE	FALSE
G_Calidifontibacter	FALSE	FALSE
G_Aromatoleum	FALSE	FALSE
S_Variovorax_boronicumulans	FALSE	FALSE
G_Sporosarcina	FALSE	FALSE
S_Chryseobacterium_balustinum	FALSE	FALSE
G_Zoogloea	FALSE	FALSE
S_Rhodococcus_fascians	FALSE	FALSE
S_Vagococcus_salmoninarum	FALSE	FALSE
F_Caulobacteraceae	FALSE	FALSE
F_Oxalobacteraceae	FALSE	FALSE
