asv_id	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample113	sample114	sample115	sample116	sample117	sample118	sample119	sample120	sample121	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample130	sample131	sample132	sample133	sample134	sample135	sample136	sample137	sample138	sample139	sample140	sample141	sample142	sample143	sample144	sample145	sample146	sample147	sample148	sample149	sample150	sample151	sample152	sample153	sample154	sample155	sample156	sample157	sample158	sample159	sample160	sample161	sample162	sample163	sample164	sample165	sample166	sample167	sample168	sample169	sample170	sample171	sample172	sample173	sample174	sample175
1541041a076c31f013b55e61e8798db7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c6c3ab4e828fb40d6e05967b7aac9338	8	0	0	0	10	0	0	0	0	0	0	0	0	17	31	0	26	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	75	0	0	11	7	0	11	0	0	0	0	0	0	0	0	0	16	0	0	0	7	0	0	0	8	0	0	9	0	0	0	0	0	0	0	0	6	0	0	0	8	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	20	9	0	30	24	0	0	1685	20	21	0	0	0	0	0	15	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ad9018f80e00f2ca4b48067195ac310d	355	0	0	0	39	30	0	4	0	21	0	0	66	0	354	54	4697	0	0	0	72	0	0	15	0	0	0	524	831	0	0	72	64	0	1217	0	1518	0	0	0	19	10	20	68	0	56	0	25	0	0	0	0	20	0	0	260	0	0	0	0	0	0	0	0	0	255	0	0	0	0	10	30	253	225	277	0	0	0	0	0	15	51	52	134	455	17	0	0	267	0	0	318	0	0	0	73	0	319	54	0	0	79	0	0	0	0	0	0	0	0	15	392	508	0	0	19	0	92	252	0	0	604	0	0	358	190	352	0	596	0	0	0	394	2067	70	446	2466	709	0	5	7	75	10	636	278	714	181	0	0	0	0	0	0	0	7	93	0	0	0	0	0	0	0	0	0	37	0	0	14	0	27	0	155	923	453
a8e53bd66879cd51ecb4e7daf552accb	56	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	879	0	304	1095	1856	2426	1672	4040	1524	672	1354	0	0	0	0	0	0	0	0	0	135	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	11	0	2	6	0	0	0	0	22	12	215	0	0	0	8050	6733	8815	8061	9351	9791	8971	10386	264	22	0	0	18	20	24	20	497	0	38	36	14	46	26	16	0	33	0	0	7	2400	34623	21612	10879	10919	7854	9560	2979	16105	34707	40169	20259	25772	12409	7572	2869	368	0	1564	0	0	0	0	0	0	0	0	0	0	0	841	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	6	0	0	0	263	0	0	0	0	0	0	0	0	0
b27640cc941ce052facc24ecb4025ca0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b9faa2123bfdcbecf62ed825e48cfee9	42	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	22	0	0	0	0	0	0	0	0	0	0	0
fc6622c636a5210293fb2873fc4761d9	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	22	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	28	59	323	0	0	0	0	153	0	190	45	32	0	0	0	0	0	383	0	0	0	177	0	0	0	0	0	16	0	0	0	0	0	0	23	0	0	67	232	0	0	0	0	0	81	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	150	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7919e7e486d412f5c4ce28d005af50f7	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aafd77b0d21c16efe98a044cf24b462c	188	0	0	0	0	0	0	0	0	10	0	0	41	94	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	28	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	36	84	0	0	0	55	0	0	0	0	0	0	0	0	0
8ae569718dedb49aa1debfe07f256ec4	15	0	0	69	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	34	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	10	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0
aee0dacb66bb3b44e8986f3859fd19d6	52	0	0	0	0	17	0	10	0	0	0	38	0	0	152	0	0	0	19	0	0	0	0	7	0	0	0	95	0	0	0	34	31	467	583	743	1382	0	0	9	23	19	91	71	0	0	196	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	55	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	546	73	35	536	153	0	0	0	0	0	0	0	0	8	21	0	27	0	0	0	0	0	0	0	0	83	256	0	15	11	0	0	0	26	0	0	0	22	373	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	0	0	0	184	0
